area,dist,acldecl,frente,preco,coefap
"359,87",200,"0,75",19,25000,"1,5"
"353,12",500,1,"12,18",45000,3
"341,89",40,1,"14,98",45000,"1,5"
"435,99",200,"0,75","12,18",20000,"1,5"
"341,77",500,"0,75","12,93",25000,"1,5"
"366,22",500,"0,75",15,20000,"1,5"
"300,69",200,1,17,30000,"1,5"
"470,98",200,"0,8","11,89",25000,"1,5"
"373,13",500,1,"12,82",40000,"1,5"
"343,12",500,1,"11,87",50000,3
"361,56",500,1,"39,27",50000,"1,5"
"538,32",500,1,"28,96",55000,"1,5"
"470,69",500,1,"44,15",40000,"1,5"
"970,72",40,"0,95","40,03",60000,3
"351,31",200,1,"40,82",50000,"1,5"
"2057,57",40,1,"40,1",70000,3
"531,65",40,1,"14,48",40000,3
"366,49",500,"0,9","15,24",40000,"1,5"
401,500,1,"13,09",40000,"1,5"
"356,88",500,"0,9","12,09",25000,"1,5"
"360,45",200,1,"12,01",35000,"1,5"
"468,28",200,"0,9","42,57",35000,3
"1004,52",40,"0,9","75,4",120000,3
"315,51",200,"0,75","17,16",20000,"1,5"
"382,16",500,"0,85","54,21",30000,"1,5"
"293,22",500,"0,9","36,12",30000,"1,5"
"577,84",500,1,"11,49",30000,"1,5"
"380,42",200,1,"12,19",40000,"1,5"
"504,92",40,"0,85","61,49",30000,"1,5"
"371,89",500,"0,8","39,51",25000,"1,5"
"397,63",200,"0,85","31,27",30000,"1,5"
"354,89",200,1,"12,52",30000,"1,5"
"402,76",500,"0,9","25,58",35000,"1,5"
"405,76",40,1,"42,33",50000,3
"382,08",200,1,"42,78",50000,3
"333,64",200,1,"36,09",50000,3
"547,41",200,1,13,40000,"1,5"
"561,44",40,1,"73,11",50000,3
"361,96",40,1,"13,91",30000,"1,5"
"385,11",200,1,12,50000,3
"355,68",200,1,"12,08",30000,"1,5"
"351,25",200,1,"12,32",50000,3
"578,64",200,"0,85","48,32",60000,3
"354,46",200,"0,9","14,5",60000,3
"400,3",500,"0,9","39,81",50000,3
"503,48",200,1,"48,36",50000,3
"357,55",200,"0,9","35,85",30000,"1,5"
"328,33",200,"0,85","10,01",35000,3
"385,96",40,1,"12,07",50000,"1,5"
